,tweet_preprocessed
28,"@pablorodriguez/NNP the/DT theatre/NN be/VBZ what/WP #/XX trudeaucorruption/NNP do/VBZ every/DT day/NN to/TO keep/VB #/NNS canadian/NNS distract/VBN ,/, disgust/VBN ,/, div/NN …/NFP"
29,#/$ cdnpoli/NNS yes/UH who/WP be/VBP they/PRP ?/. #/$trudeauchineseelect/VBP
30,time/NN for/IN truth/NN ./.expose/VB the/DT real/JJ fact/NNS and/CC motive/NNS behind/IN attack/NNS on/IN chinese/JJ -/HYPH canadian/JJ politician/NNS by/IN select/VBN csis/NNP l/NN …/NFP
31,@drjacobsrad/-LRB- @handongontario/NNP @justintrudeau/NNP an/NNP mp/NNP harm/VBN by/IN a/DT possible/JJ fake/JJ story/NN sue/NNS .../: .../: therefore/RB rwers/NNP shrie/NN …/NFP
32,@ctvnews/NNP zero/NNP ./.none/NN ./.zip/NN please/UH report/VB on/IN all/PDT the/DT #/NNS vaccinesideeffect/NNS #/$ vaccineinjuries/NNP #/$ vaccinedeaths/NNP #/$ sad/NNP you/PRP ’ll/MD d/NN …/NFP
33,#/$ cdnpoli/NNS liberals/NNPS be/VBP quick/JJ to/TO say/VB conservative/NNS do/VBP not/RB promote/VB woman/NNS .../: kim/NNP campbell/NNP conservative/NNP pm/NN 1993/CD ./.liberal/JJ …/.
34,"""/`` gender/NNP equality/NN in/IN cabinet/NN should/MD not/RB be/VB something/NN controversial/JJ ./. ""/''@charlesadler/NN say/VBZ the/DT conservatives/NNPS blow/VBD it/PRP o/NFP …/NFP"
35,what/WP a/DT day/NN !/.over/IN 20/CD meeting/NNS with/IN government/NN leader/NNS ./.huge/JJ thank/VBP you/PRP to/IN parliamentarian/NNS and/CC official/NNS who/WP meet/VBD with/IN …/NFP
36,"11/CD campaigning/NN mp/NNS be/VBD suspect/VBN of/IN nefarious/JJ activity/NNS with/IN beijing/NNP ./. #/$trudeau/NNP be/VBD only/RB brief/VBN on/IN 1/CD ./.so/RB ,/, what/WP ab/VBD …/NFP"
37,@sandrak26768863/ADD @andrewscheer/VB he/PRP be/VBZ a/DT complete/JJ embarrassment/NN @andrewscheer/NNP #/$ cdnpol/NN
38,@matthewgreenndp/IN @ricardo_tranjan/CD there/EX be/VBP many/JJ instance/NNS where/WRB the/DT renter/NN have/VBZ the/DT power/NN over/IN a/DT private/JJ property/NN ./. …/NFP
39,@jasondbelanger/ADD @jarogiesbrecht/. @sarahfischer/NN _/NFP _/NFP wait/VB conservative/NNS have/VBD kim/NNP campbell/NNP as/IN leader/NNP she/PRP be/VBD pm/NN for/IN a/DT minu/NN …/NFP
40,@hhouse222/NNP @pierrepoilievre/NNP my/PRP$ mp/NNP be/VBZ a/DT voice/NN for/IN i/PRP …/NFP #/$ reality/NN #/NNS cdnpoli/NNS
41,"remember/VB ,/, we/PRP be/VBP in/IN a/DT ""/`` dry/JJ -/HYPH run/NN ""/'' for/IN a/DT formal/JJ liberal/JJ -/HYPH ndp/NNP coalition/NN government/NN ./.they/PRP have/VBP no/DT intention/NN of/IN let/VBG a/DT …/NFP"
42,"@nationalpost/NNP aka/NNP ;/: do/VB not/RB focus/VB on/IN positive/JJ accomplishment/NNS &/CC amp/NNP ;/: partnership/NN ,/, focus/VBP instead/RB on/IN our/PRP$ fabricate/VBN scandal/NN ./. …/NFP"
43,ukrainian/JJ and/CC russian/JJ offensive/NNP options/NNPS
44,"say/VB ""/`` woman/NN belong/VBP in/IN the/DT kitchen/NN ""/'' or/CC something/NN to/TO get/VB they/PRP to/TO applaud/VB ./. #/$cdnpoli/NNS"
45,@andrewlawton/NNP do/VBZ this/DT count/VB as/IN charitable/JJ work/NN under/IN the/DT @the_cra/NNP charity/NN regulation/NNS ?/. #/$cdnpol/NN
46,pfizer/NN executive/NNS threaten/VBD that/IN canada/NNP could/MD lose/VB its/PRP$ '/`` reputation/NN '/'' and/CC foreign/JJ investment/NN if/IN mp/NNS insist/VBD on/IN read/NN …/NFP
47,"100/CD %/NN agree/VBP ./.but/CC ,/, many/JJ canadian/JJ conservative/NNS be/VBP soft/JJ on/IN putin/NNP and/CC russian/JJ war/NN crime/NNS ./. #/$standwithukraine/NNP #/NNS cdnpoli/NNS"
48,"remember/VB ,/, canadians/NNPS ,/, that/IN despite/IN pay/VBG all/PDT this/DT tax/NN you/PRP still/RB get/VBP shitty/JJ government/NN service/NNS ,/, crumble/VBG infrastru/NNP …/NFP"
49,veteran/NN national/JJ broadcaster/NNS @kathleen_petty/NNP and/CC @charlesadler/CD let/VBD we/PRP know/VB exactly/RB how/WRB they/PRP feel/VBP about/IN each/DT other/JJ …/NFP
50,trudeau/NNP selfie/NNP -/HYPH churches/NNP burn/VBG ./.please/UH retweet/NNP if/IN you/PRP like/VBP it/PRP ./.
51,the/DT fed/NNP want/VBZ to/TO disable/VB we/PRP all/DT ./.change/VB my/PRP$ #/$ mrna/NN mind/NN ……/NNS #/NNS cdnpoli/NNS
