,tweet_preprocessed
3038,the/DT truly/RB disgusting/JJ nature/NN of/IN the/DT prime/JJ minister/NN 's/POS political/JJ strategy/NN be/VBZ the/DT grift/NN :/: cover/VBG up/RP and/CC then/RB come/VBG c/NN …/NFP
3039,"@sasklass/NN you/PRP can/MD thank/VB david/NNP suzuki/NNP 's/POS drug/NN lace/VBN gummy/JJ bear/NN business/NN for/IN that/DT ./.a/DT liberal/JJ shill/NN for/IN year/NNS ,/, get/VBZ sw/NNP …/."
3040,friend/NNS let/VBP friend/NNS build/VB pipeline/NNS ./. #/$cdnpoli/NNS #/$ uspoli/NNS
3041,@atrupar/NNP @telfordk/NNP yep/NNP .../: they/PRP be/VBP in/IN the/DT conservative/JJ caucus/NN .../: shameful/JJ ./. #/$cdnpoli/NNS #/$ cp/NNP
3042,remember/VB when/WRB trudeau/NNP start/VBD a/DT petition/NN and/CC campaign/VBD on/RP successfully/RB get/VBG bev/NNP oda/NNP fire/VBD for/IN a/DT $/$ 15/CD orange/NNP juic/NNP …/NFP
3043,np/NNP and/CC pierre/NNP be/VBP have/VBG the/DT bad/JJS weekend/NN if/IN we/PRP be/VBP see/VBG this/DT drivel/NN ./. #/$cdnpoli/NNS #/$ milhouse4pm/NNS
3044,y’all/PRP still/RB want/VBP #/$ ukraine/NNP to/TO negotiate/VB with/IN this/DT guy/NN ?/.@elizabethmay/FW ?/. #/$cdnpoli/NNS
3045,"in/IN 5/CD year/NNS ,/, this/DT will/MD be/VB reality/NN for/IN thousand/NNS of/IN canadians/NNPS ./.health/NNP care/NNP privatization/NN must/MD be/VB stopped/NNP !/. #/$onpoli/FW …/NFP"
3046,mp/NNP kevin/NNP vuong/NNP present/VBD a/DT fair/JJ question/NN on/IN behalf/NN of/IN the/DT canadian/JJ public/NN ./.mp/NNP mark/NNP gerretsen/NNP answer/VBD like/IN a/DT crud/NN …/NFP
3047,it/PRP be/VBZ a/DT competition/NN to/TO see/VB who/WP can/MD out/RB -clown/VB the/DT other/JJ ./. #/$cdnpoli/NNS #/$ canpoli/NNS #/$ cpc/NNP #/$ lpc/NN
3048,"'/`` if/IN you/PRP actually/RB say/VBP it/PRP louder/RBR ,/, we/PRP ’ve/VBP learn/VBN in/IN the/DT house/NNP of/IN commons/NNP ,/, if/IN you/PRP repeat/VBP it/PRP ,/, if/IN you/PRP say/VBP it/PRP louder/RBR ,/, if/IN t/CD …/NFP"
3049,will/MD @freealbertarob/MD 👉/VB 🏼/JJR danielle/NNP smith/NNP #/CC fakeillness/NNP plan/NNP go/VB down/RP today/NN ?/.🤷/CD 🏼‍/NNP ♀/NNP ️/_SP 🤔/NNP @cbccalgary/JJ @ctvcalgary/NN …/NFP
3050,@drjacobsrad/-LRB- oops/UH ./. #/$cdnmediafaile/VBD #/$ cdnpolitic/NNS #/JJ cdnpol/NN
3051,drip/NNP drip/NNP drip/NNP …/NFP while/IN trudeau/NNP try/VBZ to/TO turn/VB the/DT page/NN with/IN a/DT sunny/JJ way/NNS biden/NNP visit/NN &/CC amp/NNP ;/: the/DT budget/NN …/NFP the/DT chinese/NNPS interfer/NN …/NFP
3052,note/VB to/IN future/JJ prime/JJ minister/NNS :/: canadian/NNS be/VBP not/RB happy/JJ to/TO see/VB their/PRP$ leader/NN get/VB hammer/VBN in/IN a/DT hotel/NN bar/NN and/CC then/RB s/VBZ …/NFP
3053,so/RB who/WP will/MD take/VB @fordnation/NN to/IN court/NN ?/.generation/NNS of/IN ontarians/NNPS do/VBD not/RB pay/VB into/IN a/DT public/JJ healthcare/NN system/NN for/IN it/PRP t/FW …/NFP
3054,it/PRP be/VBZ kind/RB of/RB like/IN the/DT whole/JJ '/`` free/JJ speech/NN '/'' thing/NN ./.it/PRP be/VBZ not/RB as/RB simple/JJ as/IN that/DT but/CC they/PRP be/VBP frame/VBG it/PRP as/IN if/IN it/PRP be/VBD ./. …/NFP
3055,"@lindafrum/UH also/RB ,/, be/VBD stephen/NNP harper/NNP 's/POS archaeology/NN ego/JJ vacation/NNS to/IN the/DT arctic/NNP to/IN the/DT tune/NN of/IN $/$ 3.4/CD million/CD good/JJ val/NN …/NFP"
3056,"@bruceanderson/NNP bruce/NNP how/WRB do/VBP government/NNS pay/VB for/IN the/DT insane/JJ record/NN debt/NN interest/NN charge/NNS ,/, with/IN out/IN of/IN control/NN wastef/NN …/NFP"
3057,conservative/NNS be/VBP backpedal/VBG so/RB hard/RB on/IN #/$ china/NNP they/PRP ’re/VBP go/VBG to/TO end/VB up/RP give/VBG china/NNP another/DT 30/CD year/NN fipa/JJ again/RB !/. …/NFP
3058,"you/PRP should/MD not/RB trust/VB any/DT form/NN of/IN medium/NNS that/WDT use/VBZ @foodprofessor/NN as/IN an/DT ""/`` expert/NN ""/'' ./. #/$cdnpol/NN"
3059,"mark/NNP just/RB out/RB here/RB embarrass/VBG himself/PRP &/CC amp/NNP ;/: his/PRP$ boss/NN once/RB again/RB ./.🤡/NNP watch/VBP this/DT video/NN very/RB ,/, very/RB closely/RB ./.pay/NN attentio/NN …/NFP"
3060,
3061,such/PDT a/DT good/JJ story/NN ./.so/RB much/RB in/IN here/RB ./. #/$cdnpoli/NNS
3062,leslyn/NNP 's/POS out/IN to/IN lunch/NN .../: with/IN nazis/NNPS ./. #/$cdnpoli/NNS
3063,justin/NNP trudeau/NNP :/: chairman/NNP lmao/NNP
3064,@winter_canada/XX @torontostar/NNP we/PRP ’re/VBP mobilize/VBG across/IN ontario/NNP to/TO fight/VB back/RB against/IN doug/NNP #/NN fortheprofit/NN ford/NNP join/NNP th/NN …/NFP
3065,"dong/NNP have/VBD secret/JJ ,/, off/IN the/DT record/NN conversation/NNS with/IN a/DT hostile/JJ foreign/JJ adversary/NN ’s/POS consulate/NN member/NN clearly/RB outside/IN d/NN …/NFP"
3066,the/DT prime/NNP minister/NN cover/VBD up/RP the/DT hotel/NN room/NN until/IN it/PRP be/VBD strategically/RB the/DT good/JJS time/NN to/TO come/VB clean/JJ a/DT horrific/JJ lie/NN …/NFP
3067,"let/VB us/PRP all/DT be/VB very/RB clear/JJ :/: prime/JJ minster/NN stay/VBD in/IN a/DT $/$ 6000/CD per/IN night/NN hotel/NN room/NN when/WRB ask/VBN about/IN it/PRP ,/, refuse/VBD to/TO adm/VB …/."
3068,"russia/NNP now/RB van/VBZ the/DT lgbtq/NNP ,/, even/RB talk/VBG ,/, hold/VBG hand/NNS ,/, kiss/VBG in/IN public/NN will/MD get/VB a/DT gay/JJ couple/NN jail/NN time/NN !/. #/$cdnpoli/NNS s/ADD …/NFP"
3069,the/DT chinese/NNPS interference/VBP scandal/NN have/VBZ enter/VBN into/IN the/DT territory/NN of/IN a/DT vast/JJ right/JJ -/HYPH wing/NN conspiracy/NN bring/VBN to/IN you/PRP by/IN c/NNP …/NFP
3070,i/PRP expect/VBP a/DT full/JJ expose/NN on/IN pierre/NNP poilievre/NNP ’s/NN parents-/IN both/CC biological/JJ and/CC adoptive/JJ ./.the/DT national/NNP post/NNP and/CC tristan/NNP …/NFP
3071,good/JJ pr/NN and/CC comms/NNP pro/NNS work/VBP behind/IN the/DT scene/NNS ./.then/RB there/EX be/VBZ sarah/NNP ./.should/MD we/PRP thank/VB she/PRP ?/. #/$cdnpoli/NNS #/NNP prfail/NN …/NFP
3072,"@hfentonmudd/NNP @meetjess/NN */NFP #/NNS cdnpoli/NNS have/VBZ enter/VBN the/DT chat/NN */NFP ""/`` we/PRP decline/VBD first/RB !/.we/PRP decline/VBD well/RBR !/.but/CC but/CC but/CC we/NNP save/VBD the/DT economy/NNS see/VBP ./. ""/''ugh/NN"
3073,"anyone/NN near/IN the/DT median/JJ income/NN in/IN this/DT country/NN see/VBZ this/DT and/CC go/VBZ ,/, oh/UH so/RB he/PRP ’/VBZ just/RB openly/RB admit/VBG he/PRP ’/VBZ only/RB here/RB f/LS …/NFP"
3074,"@tpostmillennial/NNP oh/NNP ?/.funny/NNP trudeau/NNP do/VBD not/RB mention/VB that/IN we/PRP agree/VBD to/TO accept/VB 15,000/CD migrant/NNS from/IN the/DT ""/`` western/NNP hemis/NNP …/NFP"
3075,many/JJ #/NNS canadians/NNPS unsure/JJ if/IN system/NN of/IN gov't/NN be/VBZ good/JJ :/: survey/VB |/NN ctv/NNP news/NNP #/VBZ cdnpoli/NNS
3076,"@glennwa12/VB @concern70732755/NNP bullshit/NNP ./.be/VBP you/PRP ""/`` canadians/NNPS should/MD never/RB talk/VB to/IN or/CC learn/VB from/IN other/JJ country/NNS '/'' leader/NN …/."
3077,i/PRP wonder/VBP if/IN anyone/NN be/VBD brave/JJ enough/RB to/TO ask/VB the/DT @cds_canada_cemd/NNP why/WRB the/DT cdn/NNP battle/NN group/NN task/VBD with/IN defend/VBG latv/NNP …/.
3078,@acoyne/NN wealthy/NNP cdns/NNP should/MD not/RB be/VB allow/VBN to/TO vote/VB ./.our/PRP$ have/NNS be/VBP ruin/VBG our/PRP$ country/NN ./.generation/NNS of/IN cdns/NNP build/VBD up/RP …/.
3079,this/DT be/VBZ what/WP @bcpoli/NNS mean/VBZ by/IN honour/NN be/VBZ different/JJ in/IN canada/NNP now/RB and/CC scandal/NNS do/VBP not/RB matter/VB be/VBD a/DT time/NN when/WRB a/DT prime/NN …/.
3080,@pepperfire/NNS thank/VBP goodness/NN 😅/UH what/WP would/MD canadian/JJ pundit/NNS have/VBP to/TO pontificate/VB about/RB #/NNS cdnpoli/NNS if/IN 🅿/ADD ️/XX 🅿/ADD ️/XX have/VBD not/RB make/VBN it/PRP
3081,thank/VBP you/PRP @canada/NNP !/.💯/NNP &/CC gt;&gt;&gt/NNP ;/: #/$ freetobeme/NNP support/NN #/$ 2slgbtqia+/CD #/$ lgbtq/NN #/$ cdnpoli/NNP #/$ mentalhealth/NNP #/$ scicomm/NNP #/NN cdnsci/NNP #/NN stem/NNP …/NFP
3082,this/DT as/RB well/RB ./.in/IN principle/NN the/DT supreme/NNP court/NNP of/IN canada/NNP have/VBZ say/VBN that/IN the/DT safe/NNP third/NNP country/NNP agreement/NNP be/VBZ unconstitu/NN …/NFP
3083,this/DT be/VBZ exactly/RB what/WP a/DT government/NN official/NN who/WP take/VBD a/DT bribe/NN from/IN the/DT communist/NNP party/NNP of/IN china/NNP would/MD say/VB ./.hey/UH …/NFP
3084,"a/DT third/NN of/IN the/DT electorate/NN '/`` up/RB for/IN grab/NNS '/'' to/IN the/DT party/NN that/WDT win/VBZ over/IN '/`` the/DT new/JJ working/NN class/NN ,/, '/'' expert/NNS tell/VBP canada/NNP s/NNP …/NFP"
3085,"at/IN roxham/NNP road/NNP ,/, migrant/NNS reach/VBP uncertain/JJ end/NNS to/IN harrowing/JJ journey/NNS :/: '/`` they/PRP ’re/VBP scared/JJ '/''"
3086,the/DT prime/NNP minister/NNP well/RB appoint/VB a/DT very/RB close/JJ family/NN friend/NN to/TO look/VB into/IN his/PRP$ $/$ 6000/CD per/IN night/NN hotel/NN room/NN ./.if/IN that/DT …/NFP
3087,here/RB be/VBZ a/DT government/NN official/NN more/RBR concerned/JJ about/IN csis/NNP whistleblow/JJR than/IN politician/NNS take/VBG bribe/NNS from/IN the/DT commun/NNP …/NFP
3088,mighty/NNP earth/NNP join/VBD 80/CD +/CD us/NNP &/CC amp/NN ;/: canadian/JJ group/NNS in/IN urge/VBG @potus/NNP &/CC amp/NNP ;/: @justintrudeau/NNP to/TO transparently/RB report/VB ghg/NNP emissio/NNP …/.
3089,so/RB these/DT two/CD just/RB get/VBD out/IN of/IN a/DT chinese/JJ prison/NN force/VBN to/TO do/VB god/NNP know/VBZ what/WP ..../. only/RB to/TO come/VB home/RB and/CC be/VB force/VBN to/IN sta/NN …/NFP
3090,"@nationalpost/NNP why/WRB can/MD not/RB woman/NNS be/VB priest/NNS ?/.because/IN god/NNP only/RB speak/VBZ to/IN conservative/JJ man/NNS &/CC amp/NN ;/: he/PRP (/-LRB- because/IN god/NNP be/VBZ a/DT man/NN ,/, ob/FW …/NFP"
3091,for/IN far/RB too/RB long/JJ to/IN corrupt/JJ leader/NNS and/CC official/NNS have/VBP act/VBN with/IN impunity/NN ./.my/PRP$ @senca/NN bill/NN kickstarte/VBD this/DT import/NN …/NFP
3092,"excellent/JJ piece/NN ,/, 🇨/NNP 🇦/NNP be/VBD the/DT first/JJ to/TO pass/VB a/DT law/NN to/TO seize/VB +/CC repurpose/JJ asset/NNS of/IN both/DT individual/NNS +/CC state/NNS who/WP breac/VBZ …/NFP"
3093,something/NN happen/VBD that/WDT make/VBD the/DT prime/JJ minister/NN come/VB clean/JJ about/IN his/PRP$ cover/NN -/HYPH up/NN it/PRP look/VBZ like/IN the/DT pm/NN know/VBD the/DT autho/FW …/.
3094,"@michaelchongmp/`` mike/NNP ,/, no/RB matter/RB how/WRB sane/NN you/PRP try/VBP to/TO sound/VB ,/, the/DT fact/NNS be/VBP that/IN you/PRP work/VBP for/IN #/$ neonazipierrepoilievre/NN …/NFP"
3095,@bifnake/VBN @migrantrightsca/NNP @justintrudeau/NNP a/DT slap/NN on/IN the/DT face/NN to/IN human/JJ being/NNS that/WDT need/VBP we/PRP the/DT most/JJS ./.after/IN survive/VBG …/.
3096,this/DT fucking/JJ clown/NNS think/VBZ he/PRP be/VBZ pm/NNP material/NN ./. #/$cdnpoli/NNS
3097,why/WRB do/VBD not/RB the/DT prime/JJ minister/NN tell/VB the/DT truth/NN when/WRB he/PRP be/VBD first/RB ask/VBN about/IN his/PRP$ $/$ 6000/CD a/DT night/NN hotel/NN room/NN ?/.the/DT hotel/NN …/NFP
3098,"@truenorthcentre/NNP trudeau/NNP take/VBZ this/DT approach/NN to/TO ""/`` protect/VB ""/'' his/PRP$ relationship/NN with/IN canadians/NNPS ./. #/$itsoktolie/FW machiavelli/NNP …/NFP"
3099,a/DT must/MD -/HYPH read/VBN from/IN the/DT ⁦@torontostar⁩/NNP ’s/NN ⁦@stephanielevitz⁩/NNS on/IN how/WRB ⁦@pierrepoilievre⁩/NN —/: who/WP former/JJ pm/NNP ⁦@stephenharper⁩/NN …/.
3100,excerpt/NNS of/IN u.s./NNP president/NNP joe/NNP biden/NNP 's/POS address/NN to/IN parliament/NNP |/NN ctv/NNP news/NNP #/NN cdnpoli/NNS #/$ uspoli/NNS
3101,frame/VBG the/DT reaction/NN before/IN the/DT action/NN :/: opinionator/NN ’s/POS premature/JJ ejaculation/NN exclamation/NN #/$ cdnpoli/NNS
3102,🇪/NNS 🇺/CD uefa/NNP #/$ euro2024/CD match/NNP day/NNP #/$ luxembourg/NNP vs./IN #/$ portugal/NNP 🇱/XX 🇺/ADD 🆚/_SP 🇵/NN 🇹/NN 🔴/: live/JJ stream/NNP on/IN joyful/JJ iptv/NNP #/NN rollcoog/NNS …/NFP
3103,#/$ cpc/NNP be/VBZ tick/VBG off/RP all/PDT the/DT box/NNS with/IN considerable/JJ help/NN from/IN #/NNS cdnmedia/NNS who/WP consistently/RB fail/VBP to/TO take/VB the/DT high/JJ roa/NN …/NFP
3104,"@theresemacdona6/NNP yeah/UH ,/, but/CC there/EX be/VBD no/DT cover/NN -/HYPH up/NN for/IN six/CD month/NNS as/IN to/TO whom/WP be/VBD sit/VBG in/IN the/DT seat/NN at/IN the/DT baseball/NN …/."
3105,"@msilcoff/IN a/DT huge/JJ set/NN back/RB on/IN this/DT global/JJ humanitarian/JJ crisis/NN ./.plus/CC ,/, irregular/JJ border/NN crossing/NN will/MD continue/VB but/CC now/RB …/NFP"
3106,@ryan_r_williams/: tax/NN be/VBZ illegal/JJ ./.government/NN introduce/VBD legislation/NN to/TO force/VB ppl/NN to/TO pay/VB taxis/NNS ./.there/EX should/MD be/VB no/DT ta/NN …/NFP
3107,cottage/NN party/NN high/JJ schooler/NNS crash/VBD the/DT boat/NN ./.dad/NNP be/VBZ here/RB to/TO clean/VB up/RP the/DT mess/NN ./.some/DT thing/NNS never/RB change/VBP ./. …/NFP
3108,📣/XX #/$ breaking/NN -/HYPH #/NN jedinews/NNP 🌎/JJ human/JJ rights/NNP violation/NNS by/IN the/DT college/NNP of/IN physicians/NNP after/IN haze/VBG colour/VBN doctors/NNP ⚠/_SP ️vici/NNP …/NFP
3109,"as/IN always/RB ,/, a/DT great/JJ way/NN to/TO start/VB a/DT sunday/NNP ,/, talk/VBG canada/NNP -/HYPH u.s./NNP relation/NNS and/CC politic/NNS in/IN general/JJ with/IN @davidcommon/NNP a/DT …/NFP"
3110,interesting/JJ that/IN the/DT trudeau/NNP liberals/NNPS have/VBP no/DT problem/NN with/IN our/PRP$ military/JJ family/NNS be/VBG in/IN poverty/NN ./.do/VB well/JJR ⁦/NN …/NFP
3111,require/VBG every/DT account/NN to/TO have/VB contact/NN information/NN be/VBZ how/WRB social/JJ medium/NNS */NNP should/MD */VB be/VB clean/VBN up/RP …/.
3112,big/JJ word/NNS from/IN singh/NNP ./.i/PRP like/VBP he/PRP much/RB well/JJR than/IN trudeau/NNP but/CC he/PRP be/VBZ not/RB win/VBG an/DT election/NN when/WRB canadians/NNPS have/VBZ show/NN …/.
3113,"@refugeecentre/NNP ""/`` canada/NNP will/MD no/RB long/RB allow/VB people/NNS enter/VBG at/IN roxham/NNP road/NNP to/TO seek/VB asylum/NN in/IN canada/NNP ./.if/IN you/PRP cross/VBP …/NFP"
3114,'/`` one/CD of/IN the/DT most/RBS dangerous/JJ job/NNS '/'' :/: former/JJ #/NN education/NN worker/NN on/IN #/$ violence/NN in/IN n.s./NNP #/NNS school/NNS |/RB
3115,@mikeggibbs/NNP @uppitybitxh/NNP @globalnew/NNS well/RBR have/VBP good/JJ lawyer/NNS or/CC find/VB the/DT cash/NN now/RB and/CC buy/VB their/PRP$ way/NN out/IN of/IN this/DT d/NN …/NFP
3116,which/WDT canadian/JJ prime/JJ minister/NN help/VBD establish/VB the/DT order/NNP of/IN canada/NNP ?/.|/NN outburst/NN #/$ cdnpoli/NNS
3117,this/DT be/VBZ how/WRB social/JJ medium/NNS */NNP should/MD */VB be/VB clean/VBN up/RP do/VBN .../:
3118,wait/VB ../NFP 50/CD %/NN of/IN the/DT population/NN be/VBZ a/DT resource/NN for/IN the/DT economy/NN that/WDT be/VBZ currently/RB be/VBG inhibit/VBN from/IN full/JJ -/HYPH participation/NN …/NFP
3119,"this/DT ,/, from/IN a/DT senator/NNP ./.disgusting/NNP ./. #/$cdnpoli/NNS"
3120,"the/DT spavor/NNP kovrig/NNP hostage/NN bit/NN ,/, the/DT stage/VBN dog/NN and/CC pony/NN show/NN direct/VBN by/IN freeland/NNP ,/, and/CC the/DT two/CD new/JJ allegedly/RB chinese/NNPS …/NFP"
3121,"watch/VB as/IN michael/NNP ,/, and/CC other/JJ conservative/JJ mp/NNS ,/, be/VBP start/VBG to/TO position/VB themselves/PRP for/IN han/NNP dong/NNP ’s/POS vindication/NN ./.int/NNS …/NFP"
3122,bird/NNP flu/NNP ’s/POS momentum/NN in/IN #/$ canada/NNP worry/VBZ expert/NNS :/: '/`` potential/NN to/TO become/VB a/DT #/$ pandemic/JJ '/'' -/: national/JJ |/NN …/NFP
3123,"maternal/JJ death/NN rate/NNS in/IN america/NNP be/VBP 1000/CD %/NN high/JJR than/IN australia/NNP ./.now/RB ,/, @stephenharper/NNP ’s/POS @canada/NNP will/MD now/RB begin/VB its/PRP$ …/."
3124,straight/RB from/IN jt/NNP himself/PRP ./.i/PRP be/VBP not/RB exaggerate/VBG when/WRB i/PRP say/VBP we/PRP 've/VBP give/VBN up/RP over/IN $/$ 6b/NN plus/CC mass/NN amount/NNS of/IN weapon/NNS &/CC amp/NNP ;/: re/NNP …/NFP
3125,no/DT word/NNS ./.please/UH watch/VB 💔/NNP #/NN earlytreatmentwork/VBZ #/$ earlytreatment/NN #/$ letdrsbedrs/NN #/$ cdnpoli/NNS #/$ nationalcitizensinquiry/JJ
3126,#/$ trudeau/NNP security/NN adviser/NN warn/VBD foreign/JJ agent/NN registry/NN could/MD bring/VB pushback/NN -/HYPH national/JJ |/NN
3127,@thehilltime/NNS why/WRB do/VBZ trudeau/NNP 's/POS office/NN look/VBP like/IN a/DT rec/NN room/NN in/IN scarborough/NNP ?/.and/CC he/PRP greet/VBZ world/NN leader/NNS there/RB ?/. #/$yike/VBZ #/$ cdnpol/NN
3128,@pierrepoilievre/NFP you/PRP realize/VBP 99.8/CD %/NN of/IN cdns/NNP have/VB no/DT fucking/JJ idea/NN what/WP your/PRP$ talk/VBG about/IN here/RB ?/.it/PRP just/RB look/VBZ like/IN yo/PRP …/NFP
3129,say/VBZ a/DT man/NN who/WP ’/VBZ entire/JJ life/NN have/VBZ and/CC continue/VBZ to/TO be/VB luxuriously/RB fund/VBN by/IN canadian/JJ taxpayer/NNS ./. #/$cdnpoli/NNS #/$ democracy/NN …/NFP
3130,he/PRP will/MD be/VB vindicate/VBN ./. #/$cdnpoli/NNS
3131,have/VBP you/PRP ever/RB see/VBN more/JJR hatred/NN opinion/NN piece/NNS ?/.ayoye/NNP !/. #/$cdnpoli/NNS #/NNS cdnmediafaile/VBD
3132,canadian/JJ liberal/JJ government/NN under/IN #/NNP trudeau/NNP call/VBZ any/DT criticism/NN of/IN china/NNP '/`` racist/NN '/'' …/NFP we/PRP be/VBP use/NN to/IN ccp/NNP daily/JJ propagan/NNP …/NFP
3133,"#/NNPS roxhamroad/NNP be/VBZ now/RB close/VBN ./.advocate/NNS call/VBP the/DT move/NN '/`` rush/VBN ,/, '/'' '/`` inhumane/NN '/'' |/NN"
3134,repeat/VB after/IN i/PRP ./.they/PRP ./.got/NNP ./.nothing/NN !/. #/$cdnpol/NN
3135,@nationalpost/LS pick/VBG on/IN his/PRP$ mom/NN again/RB ?/. #/$yomama/NNP #/$ cdnpol/NN
3136,"$/$ 6000/CD for/IN accommodation/NNS at/IN the/DT queen/NNP ’s/POS funeral/NN ,/, eh/UH ?/. #/$cdnpoli/NNS #/$ nevervoteconservative/JJ"
3137,"in/IN a/DT memo/NN from/IN last/JJ august/NNP ,/, trudeau/NNP ’s/POS national/JJ security/NN adviser/NN say/VBD of/IN a/DT foreign/JJ agent/NN registry/NN that/IN ""/`` national/JJ sec/NNP …/NFP"
3138,@nspector4/VB @washingtonpost/FW thank/NNS for/IN this/DT ./.just/RB see/VBG investigative/JJ journalist/NNS act/VBG like/IN investigative/JJ journal/NN …/NFP
3139,yes/UH ./.this/DT be/VBZ an/DT issue/NN ./.where/WRB be/VBZ #/$ cdnmedia/NNS ?/.right/RB -/HYPH propagandize/VBG anti/AFX trudeau/NNP falsehood/NNS and/CC slander/NN ./. #/$cdnpoli/NNS
3140,this/DT be/VBZ still/RB bullshit/JJ and/CC i/PRP continue/VBP to/TO wonder/VB why/WRB i/PRP still/RB see/VBP it/PRP especially/RB when/WRB it/PRP appear/VBZ immediately/RB after/IN th/NN …/NFP
3141,not/RB just/RB look/VBG for/IN $/$ $/NN ./.look/VBG for/IN trustworthy/JJ people/NNS willing/JJ to/TO work/VB or/CC volunteer/VB as/IN a/DT psw/NNP (/-LRB- no/DT formal/JJ certifica/NN …/.
3142,"""/`` with/IN this/DT new/JJ initiative/NN ,/, the/DT federal/JJ government/NN be/VBZ maintain/VBG a/DT long/JJ tradition/NN of/IN attempt/VBG to/TO manage/VB the/DT world/NN …/."
3143,"👏/NNP 👏/NNP 👏/NNP #/$ nato/NNP #/$ cdnpoli/NNS norway/NNP ,/, sweden/NNP ,/, finland/NNP ,/, and/CC denmark/NNP strike/VBD a/DT deal/NN to/TO run/VB their/PRP$ 200/CD +/CD advanced/JJ fighter/NN jet/NNS as/IN …/NFP"
3144,"in/IN a/DT weird/JJ kind/NN of/IN way/NN ,/, this/DT give/VBZ i/PRP hope/NN ./.people/NNS be/VBP pay/VBG attention/NN to/IN the/DT news/NN &/CC amp/NNP ;/: savvy/JJ enough/RB to/TO note/VB the/DT unde/NN …/NFP"
3145,"like/IN i/PRP say/VBD in/IN 2018/CD ,/, nuclear/NNP be/VBZ too/RB expensive/JJ ./.corporate/JJ welfare/NN do/VBP not/RB care/VB for/IN @fordnation/CD ./.no/DT #/$ healthcare/NNP for/IN y/NNP …/."
3146,backbencher/NNS like/IN mp/NNP @handongontario/NNP be/VBP no/DT position/NN to/TO be/VB talk/VBG about/IN any/DT #/NNS canadians/NNPS hold/VBN by/IN a/DT country/NN in/IN this/DT c/NN …/NFP
3147,"up/IN be/VBZ down/RB ./.war/NNP be/VBZ peace/NN ./.and/CC not/RB spend/VBG billion/NNS of/IN dollar/NNS you/PRP do/VBP not/RB have/VB be/VBZ reckless/JJ ,/, accord/VBG to/IN finance/NNP min/NNP …/VBD"
3148,"there/EX be/VBZ no/DT labour/NN shortage/NN ,/, in/IN this/DT inflation/NN there/EX be/VBZ a/DT crisis/NN of/IN low/JJ wage/NNS ,/, work/NN benefit/NNS ,/, &/CC amp/NNP ;/: life/NN -/HYPH work/NN balance/NN i/NN …/NFP"
3149,@caulfieldtim/NFP @alexeheath/NNP @scienceupfirst/NNP also/RB @cdnheritage/XX why/WRB be/VBZ the/DT federal/JJ government/NN of/IN #/$ cdnpoli/NNS maintain/VBG a/DT …/NFP
3150,heh/UH ./.i/PRP ’m/VBP guess/VBG he/PRP will/MD not/RB #/$ cdnpoli/NNS
3151,have/VBP not/RB see/VBN sunday/NNP morning/NN cartoon/NNS in/IN a/DT while/NN !/. #/$cdnpoli/NNS
3152,"@justintrudeau/NNP be/VBZ a/DT serial/JJ rule/NN breaker/NN ,/, sure/RB the/DT rule/NNS do/VBP not/RB ,/, or/CC should/MD not/RB apply/VB 2/CD he/PRP ./.but/CC the/DT real/JJ culprit/NNS be/VBP …/NFP"
3153,"drag/VB he/PRP down/RP ?/.nope/UH that/DT be/VBZ your/PRP$ job/NN and/CC you/PRP have/VBP already/RB do/VBN some/DT stellar/JJ work/NN there/RB impugn/VBG his/PRP$ integrity/NN ,/, his/PRP$ …/NFP"
3154,"when/WRB @yaarasak/NNS and/CC @marciien/JJ be/VBD first/RB elect/VBN in/IN a/DT by/NN -/HYPH elx/NN ,/, they/PRP mark/VBD the/DT first/JJ time/NN that/WDT 100/CD woman/NNS sit/VBD in/IN 🇨/NNP 🇦/NNP ’s/CD …/NFP"
3155,"take/VB note/NN @cpc_hq/, 🧐/XX #/$ cdnpoli/NNS"
3156,do/VBZ the/DT saskatchewan/NNP government/NN understand/VB that/IN first/NNP nations/NNPS have/VBP the/DT right/NN to/TO hunt/VB ?/. #/$gpc/NNP #/$ cdnpoli/_SP
3157,"@rob_oliphant/NNP @anitaanandmp/NNP so/RB the/DT federal/NNP liberals/NNPS be/VBP finally/RB upset/JJ about/IN certain/JJ third/JJ -/HYPH world/NN ""/`` barbaric/NNP practice/NNP …/NFP"
3158,@pierrepoilievre/NFP most/JJS canadians/NNPS would/MD not/RB vote/VB for/IN the/DT small/JJ man/NN (/-LRB- pp/NNP )/-RRB- who/WP feed/VBD &/CC amp/NNP ;/: cuddled/JJ thug/NNS who/WP march/VBD on/IN parlia/NNP …/NFP
3159,"@qualifyfor/NNP 4//NNP .../: that/WDT cnooc/NNP be/VBZ prepare/VBG to/TO jettison/VB its/PRP$ asset/NNS in/IN cda/NNP ,/, the/DT us/NNP n/NNP britain/NNP ,/, largely/RB acquire/VBN in/IN the/DT n/NNP …/NFP"
3160,@art63clarkstw/NN @mini_bubbly/XX @layscanada/NNP #/$ onpoli/VBZ #/$ cdnpoli/NNS those/DT chip/NNS use/VBN to/TO be/VB $/$ 1.25/CD they/PRP have/VBP go/VBN up/IN to/TO $/$ 1.5/CD
3161,man/NNS get/VBG their/PRP$ nail/NNS do/VBN in/IN china/NNP ./.no/DT one/NN judge/NNS and/CC care/NNS ./.western/JJ country/NNS will/MD call/VB he/PRP a/DT f/NNP _/NFP _/NFP ./.china/NNP be/VBZ mo/NN …/NFP
